UserUnit,Date,ProgNo,ProgName,orderNo,DMCRetractor,DMCMGG,No-actpartstotal,0No-actpartsok,1positionturntable,2contactposmm,3planaritymm,4distancemm,fric1Max/MinnU/min,fric2Max/MinnU/min,upset1Max/MinnU/min,8angelposdegree,fric11s_actmm,fric21s_actmm,brakes_actmm,upset11s_actmm,upset2s_actmm,totals_totmm,fric12t_acts,fric22t_acts,brake1t_acts,upset12t_acts,upset21t_acts,brake_n0t_acts,total1t_tots,fric13t_ups,fric23t_ups,upset13t-ups,upset22t_ups,total2L_FPmm,forceclampX1kN,positionclampX1mm,total3NOKBCD-Code,lastcycles,date,typenumber,typename,FWnumber,ST02cleanlaserprogno,ST02cleanlaserokstatus,ST03lasercamprogno,ST03lasercamokstatus,ST04FWokstatus,ST05anglecamprogno,ST05anglecamvalue,ST05anglecamokstatus,overallokstatus
ZapataF,2023-03-11 12:23:05,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YJ,34311248A006102212,1691999,11,1,124.526,0.028,-20.553,13994.568,10794.704,-54.767,181.335,0.069,0.141,0.568,0.369,0.151,1.298,0.03,0.1,0.224,0.04,0.25,0.298,0.968,0.008,0.002,0.002,0.022,29.228,22.7,11.457,0,32.796,2023-11-03 11:10:41,45,CIVIC 1st LH DOM SLL3,1692001,1,OK,2,OK,OK,5,183.15 ,OK,OK
ZapataF,2023-03-11 12:23:17,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010G,34311248A006102212,1692000,12,2,124.486,0.022,-20.551,13991.117,10795.013,-78.045,181.134,0.064,0.16,0.71,0.371,0.142,1.446,0.03,0.1,0.222,0.04,0.25,0.292,0.974,0.004,0.002,0.002,0.018,29.04,22.8,11.46,0,75.06,2023-11-03 11:11:09,45,CIVIC 1st LH DOM SLL3,1692001,1,OK,2,OK,OK,5,183.48 ,OK,OK
ZapataF,2023-03-11 12:24:24,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YN,34311248A006102212,1692001,13,3,124.516,0.046,-20.541,13992.444,10775.497,-54.325,181.558,0.073,0.14,0.537,0.367,0.154,1.271,0.03,0.1,0.222,0.04,0.25,0.3,0.968,0.008,0.002,0.002,0.024,29.245,22.7,11.464,0,11.8,2023-11-03 11:14:43,45,CIVIC 1st LH DOM SLL3,1692003,1,OK,2,OK,OK,5,182.29 ,OK,OK
ZapataF,2023-03-11 12:25:01,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YR,34311248A006102212,1692002,14,4,124.507,0.02,-20.561,13987.842,10796.518,-54.944,181.207,0.068,0.165,0.619,0.369,0.143,1.365,0.03,0.1,0.218,0.04,0.25,0.29,0.966,0.004,0.002,0.002,0.02,29.142,22.8,11.452,0,7.88,2023-11-03 11:15:01,45,CIVIC 1st LH DOM SLL3,1692003,1,OK,2,OK,OK,5,183.23 ,OK,OK
ZapataF,2023-03-11 12:26:07,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YM,34311248A006102212,1692003,15,5,124.536,0.046,-20.553,13992.002,10789.083,-72.735,181.328,0.068,0.154,0.639,0.369,0.146,1.376,0.03,0.1,0.222,0.04,0.25,0.296,0.964,0.006,0.002,0.002,0.018,29.161,22.8,11.453,0,10.584,2023-11-03 11:16:10,45,CIVIC 1st LH DOM SLL3,1692004,1,OK,2,OK,OK,5,182.69 ,OK,OK
ZapataF,2023-03-11 12:28:53,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YP,34311248A006102212,1692004,16,6,124.545,0.019,-20.53,13991.382,10791.03,-10.07,181.33,0.068,0.168,0.647,0.37,0.158,1.41,0.03,0.1,0.22,0.04,0.25,0.296,0.96,0.006,0.002,0.002,0.024,29.135,22.8,11.452,0,41.26,2023-11-03 11:21:17,45,CIVIC 1st LH DOM SLL3,1692005,1,OK,2,OK,OK,5,181.17 ,OK,OK
ZapataF,2023-03-11 12:30:02,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010H,34311248A006102212,1692005,17,1,124.476,0.041,-20.562,13989.612,10793.287,-1.927,181.28,0.068,0.172,0.666,0.37,0.155,1.43,0.03,0.1,0.224,0.04,0.25,0.298,0.978,0.006,0.002,0.002,0.026,29.046,22.7,11.451,0,26.688,2023-11-03 11:23:17,45,CIVIC 1st LH DOM SLL3,1692006,1,OK,2,OK,OK,5,183.33 ,OK,OK
ZapataF,2023-03-11 12:35:26,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010C,34311248A006102212,1692006,18,3,124.516,0.027,-20.575,13995.232,10786.561,-20.514,181.326,0.067,0.172,0.642,0.369,0.157,1.406,0.03,0.1,0.222,0.04,0.25,0.298,0.968,0.006,0.002,0.002,0.024,29.111,22.8,11.459,0,26.688,2023-11-03 11:24:33,45,CIVIC 1st LH DOM SLL3,1692007,1,OK,2,OK,OK,5,182.12 ,OK,OK
ZapataF,2023-03-11 12:37:48,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010B,34311248A006102212,1692007,19,4,124.516,0.016,-20.561,13987.797,10790.455,-61.228,181.27,0.067,0.162,0.639,0.371,0.142,1.381,0.03,0.1,0.22,0.04,0.25,0.294,0.966,0.004,0.002,0.002,0.022,29.136,22.8,11.463,0,100.22,2023-11-03 11:25:35,45,CIVIC 1st LH DOM SLL3,1692008,1,OK,2,OK,OK,5,184.36 ,OK,OK
ZapataF,2023-03-11 12:38:25,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010D,34311248A006102212,1692008,20,5,124.517,0.019,-20.559,13987.709,10793.686,-68.575,181.373,0.066,0.156,0.606,0.369,0.147,1.344,0.03,0.1,0.22,0.04,0.25,0.294,0.966,0.006,0.002,0.002,0.02,29.172,22.8,11.455,0,12.812,2023-11-03 11:26:04,45,CIVIC 1st LH DOM SLL3,1692009,1,OK,2,OK,OK,5,182.82 ,OK,OK
